營業區處#請求號數#工作概述#第一次停電時間#第二次停電時間#停電範圍#查詢電話(1911)#
台電台南區營業處#H16378#管線遷移工程#2017/10/02 09:00~16:00#無#南市七股區永吉里永吉#1911#
台電台南區營業處#H16378#管線遷移工程#2017/10/02 09:00~16:00#無#南市七股區玉成里#1911#
台電台南區營業處#H16378#管線遷移工程#2017/10/02 09:00~16:00#無#南市七股區玉成里玉成#1911#
台電台南區營業處#H16378#管線遷移工程#2017/10/02 09:00~16:00#無#南市七股區看坪里#1911#
台電台南區營業處#H16378#管線遷移工程#2017/10/02 09:00~16:00#無#南市七股區看坪段#1911#
台電台南區營業處#H16378#管線遷移工程#2017/10/02 09:00~16:00#無#南市七股區海埔#1911#
台電台南區營業處#H16378#管線遷移工程#2017/10/02 09:00~16:00#無#南市七股區海埔地#1911#
台電台南區營業處#H16378#管線遷移工程#2017/10/02 09:00~16:00#無#南市七股區新生段#1911#
台電台南區營業處#H16378#管線遷移工程#2017/10/02 09:00~16:00#無#南市七股區溪南里#1911#
台電台南區營業處#H16378#管線遷移工程#2017/10/02 09:00~16:00#無#南市七股區樹子腳段#1911#
台電台南區營業處#H16378#管線遷移工程#2017/10/02 09:00~16:00#無#南市七股區樹林里#1911#
台電台南區營業處#H16378#管線遷移工程#2017/10/02 09:00~16:00#無#南市七股區龍山里#1911#
台電台南區營業處#H16378#管線遷移工程#2017/10/02 09:00~16:00#無#南市七股區#1911#
台電台南區營業處#H36311#管線遷移工程#2017/10/02 09:00~17:00#無#南市仁德區上崙里#1911#
台電台南區營業處#H36311#管線遷移工程#2017/10/02 09:00~17:00#無#南市仁德區崑崙段#1911#
台電台南區營業處#L10961#管線遷移工程#2017/10/02 09:00~12:00#無#南市歸仁區媽袓廟段一小段#1911#
台電台南區營業處#L10960#管線遷移工程#2017/10/02 10:00~13:00#無#南市歸仁區保大路一段#1911#
台電台南區營業處#L10960#管線遷移工程#2017/10/02 10:00~13:00#無#南市歸仁區媽袓廟段一小段#1911#
台電台南區營業處#H16262#管線遷移工程#2017/10/02 10:00~11:30#無#南市仁德區中正路三段#1911#
台電台南區營業處#L30954#管線遷移工程#2017/10/02 10:00~12:00#無#南市玉井區口宵里段#1911#
台電台南區營業處#L30954#管線遷移工程#2017/10/02 10:00~12:00#無#南市玉井區豐里里#1911#
台電台南區營業處#L10959#管線遷移工程#2017/10/02 10:30~14:00#無#南市歸仁區媽袓廟段一小段#1911#
台電台南區營業處#L10958#管線遷移工程#2017/10/02 11:00~15:00#無#南市歸仁區大明街#1911#
台電台南區營業處#H16263#管線遷移工程#2017/10/02 11:00~12:00#無#南市仁德區中正路三段#1911#
台電台南區營業處#L10958#管線遷移工程#2017/10/02 11:00~15:00#無#南市歸仁區大光街#1911#
台電台南區營業處#L10957#管線遷移工程#2017/10/02 13:00~16:00#無#南市歸仁區#1911#
台電台南區營業處#L10957#管線遷移工程#2017/10/02 13:00~16:00#無#南市歸仁區大明街#1911#
台電台南區營業處#L10957#管線遷移工程#2017/10/02 13:00~16:00#無#南市歸仁區大明二街#1911#
台電台南區營業處#L10957#管線遷移工程#2017/10/02 13:00~16:00#無#南市歸仁區大明一街#1911#
台電台南區營業處#H36352#管線遷移工程#2017/10/02 13:00~17:00#無#南市楠西區#1911#
台電台南區營業處#H36352#管線遷移工程#2017/10/02 13:00~17:00#無#南市楠西區玉井事業區#1911#
台電台南區營業處#H36352#管線遷移工程#2017/10/02 13:00~17:00#無#南市楠西區灣丘段#1911#
台電台南區營業處#H16264#管線遷移工程#2017/10/02 13:00~14:00#無#南市仁德區中正路三段#1911#
台電台南區營業處#H16265#管線遷移工程#2017/10/02 13:30~14:30#無#南市仁德區中正路三段#1911#
台電台南區營業處#L10956#管線遷移工程#2017/10/02 13:30~16:30#無#南市歸仁區中正北路一段#1911#
台電台南區營業處#L10956#管線遷移工程#2017/10/02 13:30~16:30#無#南市歸仁區八甲西段#1911#
台電台南區營業處#L10956#管線遷移工程#2017/10/02 13:30~16:30#無#南市歸仁區大明街#1911#
台電台南區營業處#L10955#管線遷移工程#2017/10/02 14:00~17:00#無#南市歸仁區大光二街#1911#
台電台南區營業處#L10955#管線遷移工程#2017/10/02 14:00~17:00#無#南市歸仁區大光街#1911#
台電台南區營業處#H16266#管線遷移工程#2017/10/02 14:00~15:00#無#南市仁德區中正路三段#1911#
台電台南區營業處#H36404#管線遷移工程#2017/10/02 14:30~16:30#無#南市安南區城西段#1911#
台電台南區營業處#H36404#管線遷移工程#2017/10/02 14:30~16:30#無#南市安南區城西街三段#1911#
