營業區處#請求號數#工作概述#第一次停電時間#第二次停電時間#停電範圍#查詢電話(1911)#
台電台中區營業處#L53205#管線遷移工程#2017/10/02 13:30~14:30#無#中市新社區復盛里#1911#
台電台中區營業處#L53205#管線遷移工程#2017/10/02 13:30~14:30#無#中市新社區鳥銃頭段#1911#
台電台中區營業處#L53205#管線遷移工程#2017/10/02 13:30~14:30#無#中市新社區中和街三段#1911#
台電台中區營業處#L13046#管線遷移工程#2017/10/02 13:40~14:20#無#中市北屯區敦化路#1911#
台電台中區營業處#L13047#管線遷移工程#2017/10/02 14:30~15:20#無#中市北屯區同榮段#1911#
台電台中區營業處#L13047#管線遷移工程#2017/10/02 14:30~15:20#無#中市北屯區庄美街#1911#
台電台中區營業處#L53206#管線遷移工程#2017/10/02 14:40~15:20#無#中市新社區中和街三段#1911#
台電台中區營業處#L53206#管線遷移工程#2017/10/02 14:40~15:20#無#中市新社區鳥銃頭段#1911#
台電台中區營業處#L23179#管線遷移工程#2017/10/02 15:30~17:00#無#中市豐原區水源路#1911#
台電台中區營業處#L53207#管線遷移工程#2017/10/02 15:30~17:00#無#中市新社區興中街#1911#
台電台中區營業處#L13048#管線遷移工程#2017/10/02 15:40~17:10#無#中市北屯區更生巷#1911#
台電台中區營業處#L23187#管線遷移工程#2017/10/03 08:00~17:00#無#中市新社區中興街#1911#
台電台中區營業處#L23187#管線遷移工程#2017/10/03 08:00~17:00#無#中市新社區水底寮段上水底寮小段#1911#
台電台中區營業處#L23187#管線遷移工程#2017/10/03 08:00~17:00#無#中市新社區水底寮段#1911#
台電台中區營業處#H25930#管線遷移工程#2017/10/03 08:30~18:00#無#中市龍井區三德段#1911#
台電台中區營業處#H25930#管線遷移工程#2017/10/03 08:30~18:00#無#中市龍井區工業路#1911#
台電台中區營業處#H25930#管線遷移工程#2017/10/03 08:30~18:00#無#中市龍井區中山二路二段#1911#
台電台中區營業處#H25930#管線遷移工程#2017/10/03 08:30~18:00#無#中市龍井區中山中路二段#1911#
台電台中區營業處#H25930#管線遷移工程#2017/10/03 08:30~18:00#無#中市龍井區中山段#1911#
台電台中區營業處#H25930#管線遷移工程#2017/10/03 08:30~18:00#無#中市龍井區中央路#1911#
台電台中區營業處#H25930#管線遷移工程#2017/10/03 08:30~18:00#無#中市龍井區中央路一段#1911#
台電台中區營業處#H25930#管線遷移工程#2017/10/03 08:30~18:00#無#中市龍井區中央路二段#1911#
台電台中區營業處#H25930#管線遷移工程#2017/10/03 08:30~18:00#無#中市龍井區中央路三段#1911#
台電台中區營業處#H25930#管線遷移工程#2017/10/03 08:30~18:00#無#中市龍井區中厝路#1911#
台電台中區營業處#H25930#管線遷移工程#2017/10/03 08:30~18:00#無#中市龍井區忠和小段#1911#
台電台中區營業處#H25930#管線遷移工程#2017/10/03 08:30~18:00#無#中市龍井區忠和段#1911#
台電台中區營業處#H25930#管線遷移工程#2017/10/03 08:30~18:00#無#中市龍井區高園仔#1911#
台電台中區營業處#H25930#管線遷移工程#2017/10/03 08:30~18:00#無#中市龍井區高園路#1911#
台電台中區營業處#L33337#管線遷移工程#2017/10/03 08:30~10:30#無#中市西屯區至善路#1911#
台電台中區營業處#L33337#管線遷移工程#2017/10/03 08:30~10:30#無#中市西屯區西屯路二段#1911#
台電台中區營業處#L23229#管線遷移工程#2017/10/03 08:30~11:00#無#中市后里區三豐路#1911#
台電台中區營業處#L23229#管線遷移工程#2017/10/03 08:30~11:00#無#中市后里區三豐路三段#1911#
台電台中區營業處#L23229#管線遷移工程#2017/10/03 08:30~11:00#無#中市后里區文明路#1911#
台電台中區營業處#H25930#管線遷移工程#2017/10/03 08:30~18:00#無#中市龍井區崙仔頂#1911#
台電台中區營業處#H25930#管線遷移工程#2017/10/03 08:30~18:00#無#中市龍井區龍津段#1911#
台電台中區營業處#H25930#管線遷移工程#2017/10/03 08:30~18:00#無#中市龍井區三塊厝#1911#
台電台中區營業處#H25930#管線遷移工程#2017/10/03 08:30~18:00#無#中市龍井區三德里#1911#
台電台中區營業處#L12848#管線遷移工程#2017/10/03 09:00~14:00#無#中市龍井區三德里#1911#
台電台中區營業處#L92859#管線遷移工程#2017/10/03 09:00~14:00#無#中市大安區東西三路#1911#
台電台中區營業處#L12848#管線遷移工程#2017/10/03 09:00~14:00#無#中市龍井區中厝路#1911#
台電台中區營業處#L92858#管線遷移工程#2017/10/03 09:00~14:00#無#中市大安區安田庄#1911#
台電台中區營業處#L92858#管線遷移工程#2017/10/03 09:00~14:00#無#中市大安區田尾路#1911#
台電台中區營業處#L92858#管線遷移工程#2017/10/03 09:00~14:00#無#中市大安區田心子段#1911#
台電台中區營業處#L73313#管線遷移工程#2017/10/03 09:00~10:00#無#中市太平區中和街#1911#
台電台中區營業處#L92859#管線遷移工程#2017/10/03 09:00~14:00#無#中市大安區東西四路二段#1911#
台電台中區營業處#L92858#管線遷移工程#2017/10/03 09:00~14:00#無#中市大安區安溪路#1911#
台電台中區營業處#L92858#管線遷移工程#2017/10/03 09:00~14:00#無#中市大安區安農段#1911#
台電台中區營業處#L92858#管線遷移工程#2017/10/03 09:00~14:00#無#中市大安區東西二路#1911#
台電台中區營業處#L92858#管線遷移工程#2017/10/03 09:00~14:00#無#中市大安區頂大安段#1911#
台電台中區營業處#L92858#管線遷移工程#2017/10/03 09:00~14:00#無#中市大安區頂安里#1911#
台電台中區營業處#L92859#管線遷移工程#2017/10/03 09:00~14:00#無#中市大安區安農段#1911#
台電台中區營業處#L12848#管線遷移工程#2017/10/03 09:00~14:00#無#中市龍井區三德段#1911#
台電台中區營業處#L33134#管線遷移工程#2017/10/03 09:30~12:00#無#中市北屯區景和街#1911#
台電台中區營業處#L33134#管線遷移工程#2017/10/03 09:30~12:00#無#中市北屯區景和東街#1911#
台電台中區營業處#L33134#管線遷移工程#2017/10/03 09:30~12:00#無#中市北屯區水景巷#1911#
台電台中區營業處#L33133#管線遷移工程#2017/10/03 09:30~14:00#無#中市北屯區建功段#1911#
台電台中區營業處#L33133#管線遷移工程#2017/10/03 09:30~14:00#無#中市北屯區建功巷#1911#
台電台中區營業處#L33133#管線遷移工程#2017/10/03 09:30~14:00#無#中市北屯區長生段#1911#
台電台中區營業處#L53323#管線遷移工程#2017/10/03 09:30~12:00#無#中市大安區福安路#1911#
台電台中區營業處#L53323#管線遷移工程#2017/10/03 09:30~12:00#無#中市大安區牛埔段#1911#
台電台中區營業處#H15990#管線遷移工程#2017/10/03 09:30~13:00#無#中市龍井區龍津里#1911#
台電台中區營業處#H15990#管線遷移工程#2017/10/03 09:30~13:00#無#中市龍井區龍津段#1911#
台電台中區營業處#H15990#管線遷移工程#2017/10/03 09:30~13:00#無#中市龍井區福麗段#1911#
台電台中區營業處#H15990#管線遷移工程#2017/10/03 09:30~13:00#無#中市龍井區蚵寮路#1911#
台電台中區營業處#H15990#管線遷移工程#2017/10/03 09:30~13:00#無#中市龍井區蚵寮巷#1911#
台電台中區營業處#H15990#管線遷移工程#2017/10/03 09:30~13:00#無#中市龍井區西濱路一段#1911#
台電台中區營業處#H15990#管線遷移工程#2017/10/03 09:30~13:00#無#中市龍井區三港路#1911#
台電台中區營業處#H36017#管線遷移工程#2017/10/03 09:30~15:00#無#中市南屯區精科路#1911#
台電台中區營業處#H36017#管線遷移工程#2017/10/03 09:30~15:00#無#中市南屯區保安十街#1911#
台電台中區營業處#H55964#管線遷移工程#2017/10/03 09:30~14:00#無#中市大甲區中山路#1911#
台電台中區營業處#H55964#管線遷移工程#2017/10/03 09:30~14:00#無#中市大甲區中山路一段#1911#
台電台中區營業處#H55964#管線遷移工程#2017/10/03 09:30~14:00#無#中市大甲區文曲段#1911#
台電台中區營業處#H55964#管線遷移工程#2017/10/03 09:30~14:00#無#中市大甲區文曲路#1911#
台電台中區營業處#H55964#管線遷移工程#2017/10/03 09:30~14:00#無#中市大甲區重義一路#1911#
台電台中區營業處#H55964#管線遷移工程#2017/10/03 09:30~14:00#無#中市大甲區重義二路#1911#
台電台中區營業處#H55964#管線遷移工程#2017/10/03 09:30~14:00#無#中市大甲區重義三路#1911#
台電台中區營業處#H55964#管線遷移工程#2017/10/03 09:30~14:00#無#中市大甲區番子寮段#1911#
台電台中區營業處#H55964#管線遷移工程#2017/10/03 09:30~14:00#無#中市大甲區義和段#1911#
台電台中區營業處#L13138#管線遷移工程#2017/10/03 09:30~10:30#無#中市北屯區舊社巷#1911#
