營業區處#請求號數#工作概述#第一次停電時間#第二次停電時間#停電範圍#查詢電話(1911)#
台電宜蘭區營業處#H36857#管線遷移工程#2017/10/05 13:00~17:00#無#宜縣礁溪鄉玉光村#1911#
台電宜蘭區營業處#H36857#管線遷移工程#2017/10/05 13:00~17:00#無#宜縣礁溪鄉番割田路#1911#
台電宜蘭區營業處#H36857#管線遷移工程#2017/10/05 13:00~17:00#無#宜縣礁溪鄉瑪璘路#1911#
台電宜蘭區營業處#H36857#管線遷移工程#2017/10/05 13:00~17:00#無#宜縣礁溪鄉瑪僯路#1911#
台電宜蘭區營業處#H36901#管線遷移工程#2017/10/05 13:00~17:00#無#宜縣壯圍鄉紅葉路#1911#
台電宜蘭區營業處#L38666#管線遷移工程#2017/10/05 15:30~17:00#無#宜縣宜蘭市民族路#1911#
台電宜蘭區營業處#L18703#管線遷移工程#2017/10/06 08:00~09:00#無#宜縣壯圍鄉大福路二段#1911#
台電宜蘭區營業處#H36874#管線遷移工程#2017/10/06 08:30~12:00#無#宜縣宜蘭市女中路三段#1911#
台電宜蘭區營業處#H36874#管線遷移工程#2017/10/06 08:30~08:45#2017/10/06 11:45~12:00#宜縣宜蘭市女中路#1911#
台電宜蘭區營業處#H36874#管線遷移工程#2017/10/06 08:30~08:45#2017/10/06 11:45~12:00#宜縣宜蘭市女中路三段#1911#
台電宜蘭區營業處#H36874#管線遷移工程#2017/10/06 08:30~08:45#2017/10/06 11:45~12:00#宜縣宜蘭市進士路#1911#
台電宜蘭區營業處#H36874#管線遷移工程#2017/10/06 08:30~12:00#無#宜縣宜蘭市女中路#1911#
台電宜蘭區營業處#H36874#管線遷移工程#2017/10/06 08:30~12:00#無#宜縣宜蘭市宜中路#1911#
台電宜蘭區營業處#H16884#管線遷移工程#2017/10/06 09:00~12:00#無#宜縣壯圍鄉美間路#1911#
台電宜蘭區營業處#H16884#管線遷移工程#2017/10/06 09:00~12:00#無#宜縣壯圍鄉美功路二段#1911#
台電宜蘭區營業處#H16884#管線遷移工程#2017/10/06 09:00~12:00#無#宜縣壯圍鄉永美路三段#1911#
台電宜蘭區營業處#H16884#管線遷移工程#2017/10/06 09:00~12:00#無#宜縣壯圍鄉大福路三段#1911#
台電宜蘭區營業處#H26867#管線遷移工程#2017/10/06 10:00~13:00#無#宜縣南澳鄉東岳路#1911#
台電宜蘭區營業處#H26867#管線遷移工程#2017/10/06 10:00~13:00#無#宜縣南澳鄉蘇花路三段#1911#
台電宜蘭區營業處#H26862#管線遷移工程#2017/10/06 13:00~17:00#無#宜縣羅東鎮光榮路#1911#
台電宜蘭區營業處#H26862#管線遷移工程#2017/10/06 13:00~13:15#2017/10/06 16:45~17:00#宜縣羅東鎮光榮路#1911#
台電宜蘭區營業處#H36876#管線遷移工程#2017/10/06 13:30~17:00#無#宜縣宜蘭市中華路#1911#
台電宜蘭區營業處#H36876#管線遷移工程#2017/10/06 13:30~17:00#無#宜縣宜蘭市農權路#1911#
台電宜蘭區營業處#H36876#管線遷移工程#2017/10/06 13:30~17:00#無#宜縣宜蘭市弘志路#1911#
台電宜蘭區營業處#H36876#管線遷移工程#2017/10/06 13:30~17:00#無#宜縣宜蘭市復興路一段#1911#
台電宜蘭區營業處#H16886#管線遷移工程#2017/10/06 13:50~15:00#無#宜縣壯圍鄉壯濱路五段#1911#
台電宜蘭區營業處#H16886#管線遷移工程#2017/10/06 13:50~15:00#無#宜縣壯圍鄉新社路#1911#
台電宜蘭區營業處#H16886#管線遷移工程#2017/10/06 13:50~15:00#無#宜縣壯圍鄉#1911#
台電宜蘭區營業處#H16886#管線遷移工程#2017/10/06 13:50~15:00#無#宜縣壯圍鄉壯濱路六段#1911#
台電宜蘭區營業處#H16897#管線遷移工程#2017/10/06 15:20~17:20#無#宜縣頭城鎮協天路#1911#
台電宜蘭區營業處#H16897#管線遷移工程#2017/10/06 15:20~17:20#無#宜縣頭城鎮新興路#1911#
台電宜蘭區營業處#H16897#管線遷移工程#2017/10/06 15:20~17:20#無#宜縣頭城鎮大坑路#1911#
台電宜蘭區營業處#H16907#管線遷移工程#2017/10/11 08:00~08:30#無#宜縣員山鄉#1911#
台電宜蘭區營業處#H16907#管線遷移工程#2017/10/11 08:00~08:30#無#宜縣礁溪鄉二結村#1911#
台電宜蘭區營業處#H16907#管線遷移工程#2017/10/11 08:00~08:30#無#宜縣礁溪鄉二結路#1911#
台電宜蘭區營業處#H16907#管線遷移工程#2017/10/11 08:00~08:30#無#宜縣礁溪鄉#1911#
台電宜蘭區營業處#H16908#管線遷移工程#2017/10/11 08:30~09:30#無#宜縣員山鄉枕山村#1911#
台電宜蘭區營業處#H16908#管線遷移工程#2017/10/11 08:30~09:30#無#宜縣礁溪鄉二結路#1911#
台電宜蘭區營業處#L38630#管線遷移工程#2017/10/11 09:00~12:00#無#宜縣壯圍鄉中央路三段#1911#
台電宜蘭區營業處#L18715#管線遷移工程#2017/10/11 09:30~10:00#無#宜縣員山鄉枕山村#1911#
台電宜蘭區營業處#L18715#管線遷移工程#2017/10/11 09:30~10:00#無#宜縣員山鄉枕山路#1911#
